theme,region,keyword,localized_keyword,search_query,title,link,pub_date,source,article_url,article_domain,article_readable,article_error,google_news_resolved,google_news_resolve_error,updated_at
2차전지,국내,2차전지,2차전지,2차전지,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=2%EC%B0%A8%EC%A0%84%EC%A7%80&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:39:02
AI반도체,국내,HBM,HBM,HBM,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=HBM&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:41:31
IT서비스,국내,IT서비스,IT서비스,IT서비스,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=IT%EC%84%9C%EB%B9%84%EC%8A%A4&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:44:03
건설/건자재,국내,건설,건설,건설,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%EA%B1%B4%EC%84%A4&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:46:37
게임,국내,게임,게임,게임,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%EA%B2%8C%EC%9E%84&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:49:11
광고/미디어,국내,광고,광고,광고,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%EA%B4%91%EA%B3%A0&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:51:57
금융,국내,은행주,은행주,은행주,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%EC%9D%80%ED%96%89%EC%A3%BC&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:54:29
기계/산업재,국내,기계,기계,기계,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%EA%B8%B0%EA%B3%84&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:56:57
레저/카지노,국내,카지노,카지노,카지노,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%EC%B9%B4%EC%A7%80%EB%85%B8&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 07:59:30
로봇/AI,국내,로봇,로봇,로봇,뉴스 수집 실패: 503 Server Error: Service Unavailable for url: https://news.google.com/rss/search?q=%EB%A1%9C%EB%B4%87&hl=ko&gl=KR&ceid=KR:ko,,,,,,False,URL이 비어 있습니다.,False,,2026-08-16 08:02:08
