code,name,theme,market,rank,market_cap,foreign_ratio,per,roe,max_weight,active,universe_rule,memo
005930,삼성전자,AI반도체,KOSPI,1,18094232.0,46.76,25.02,10.85,0.1,Y,KOSPI_TOP_20_PERCENT,
000660,SK하이닉스,AI반도체,KOSPI,2,17283032.0,50.28,23.43,44.15,0.1,Y,KOSPI_TOP_20_PERCENT,
402340,SK스퀘어,지주/복합,KOSPI,3,2096819.0,45.4,13.49,37.82,0.1,Y,KOSPI_TOP_20_PERCENT,
009150,삼성전기,전자부품/PCB,KOSPI,4,1485658.0,39.52,187.87,7.7,0.1,Y,KOSPI_TOP_20_PERCENT,
005380,현대차,자동차,KOSPI,5,1007408.0,24.84,15.17,8.41,0.1,Y,KOSPI_TOP_20_PERCENT,
373220,LG에너지솔루션,2차전지,KOSPI,6,848250.0,5.49,-52.91,-5.19,0.1,Y,KOSPI_TOP_20_PERCENT,
032830,삼성생명,금융,KOSPI,7,766000.0,23.27,26.68,4.96,0.1,Y,KOSPI_TOP_20_PERCENT,
028260,삼성물산,지주/복합,KOSPI,8,702996.0,30.75,29.07,6.02,0.1,Y,KOSPI_TOP_20_PERCENT,
207940,삼성바이오로직스,바이오,KOSPI,9,657794.0,12.72,46.17,19.44,0.1,Y,KOSPI_TOP_20_PERCENT,
012450,한화에어로스페이스,방산,KOSPI,10,605870.0,45.3,36.9,19.14,0.1,Y,KOSPI_TOP_20_PERCENT,
329180,HD현대중공업,조선,KOSPI,11,605626.0,13.78,28.51,18.82,0.1,Y,KOSPI_TOP_20_PERCENT,
105560,KB금융,금융,KOSPI,12,603324.0,79.89,10.75,9.98,0.1,Y,KOSPI_TOP_20_PERCENT,
000270,기아,자동차,KOSPI,13,593428.0,38.79,8.55,12.92,0.1,Y,KOSPI_TOP_20_PERCENT,
034020,두산에너빌리티,원전/에너지,KOSPI,14,552164.0,24.17,357.68,1.11,0.1,Y,KOSPI_TOP_20_PERCENT,
055550,신한지주,금융,KOSPI,15,509304.0,61.6,10.23,8.72,0.1,Y,KOSPI_TOP_20_PERCENT,
034730,SK,지주/복합,KOSPI,16,500269.0,29.64,19.18,6.35,0.1,Y,KOSPI_TOP_20_PERCENT,
012330,현대모비스,자동차,KOSPI,17,448219.0,36.88,12.9,7.68,0.1,Y,KOSPI_TOP_20_PERCENT,
068270,셀트리온,바이오,KOSPI,18,426969.0,24.5,35.13,5.94,0.1,Y,KOSPI_TOP_20_PERCENT,
006400,삼성SDI,2차전지,KOSPI,19,376737.0,26.13,-82.22,-3.15,0.1,Y,KOSPI_TOP_20_PERCENT,
086790,하나금융지주,금융,KOSPI,20,344606.0,68.49,8.65,9.17,0.1,Y,KOSPI_TOP_20_PERCENT,
267260,HD현대일렉트릭,전력인프라,KOSPI,21,340645.0,34.49,43.3,41.5,0.1,Y,KOSPI_TOP_20_PERCENT,
042660,한화오션,조선,KOSPI,22,327556.0,10.16,21.41,22.59,0.1,Y,KOSPI_TOP_20_PERCENT,
066570,LG전자,지주/복합,KOSPI,23,311110.0,28.55,35.24,4.28,0.1,Y,KOSPI_TOP_20_PERCENT,
298040,효성중공업,전력인프라,KOSPI,24,309855.0,26.7,61.36,24.41,0.1,Y,KOSPI_TOP_20_PERCENT,
035420,NAVER,플랫폼/인터넷,KOSPI,25,307186.0,34.86,17.0,7.37,0.1,Y,KOSPI_TOP_20_PERCENT,
000810,삼성화재,금융,KOSPI,26,284851.0,58.44,15.36,10.97,0.1,Y,KOSPI_TOP_20_PERCENT,
009540,HD한국조선해양,조선,KOSPI,27,254429.0,33.5,10.11,17.78,0.1,Y,KOSPI_TOP_20_PERCENT,
005490,POSCO홀딩스,철강/소재,KOSPI,28,253573.0,31.93,31.48,1.18,0.1,Y,KOSPI_TOP_20_PERCENT,
015760,한국전력,원전/에너지,KOSPI,29,245551.0,20.77,2.82,19.4,0.1,Y,KOSPI_TOP_20_PERCENT,
006800,미래에셋증권,금융,KOSPI,30,239215.0,9.35,13.41,12.36,0.1,Y,KOSPI_TOP_20_PERCENT,
010130,고려아연,철강/소재,KOSPI,31,232734.0,28.14,23.25,8.48,0.1,Y,KOSPI_TOP_20_PERCENT,
000150,두산,지주/복합,KOSPI,32,232058.0,20.97,334.34,4.99,0.1,Y,KOSPI_TOP_20_PERCENT,
316140,우리금융지주,금융,KOSPI,33,223888.0,45.86,7.29,8.91,0.1,Y,KOSPI_TOP_20_PERCENT,
042700,한미반도체,AI반도체,KOSPI,34,221601.0,7.49,124.53,34.76,0.1,Y,KOSPI_TOP_20_PERCENT,
064350,현대로템,방산,KOSPI,35,218830.0,37.58,26.92,30.05,0.1,Y,KOSPI_TOP_20_PERCENT,
010140,삼성중공업,조선,KOSPI,36,206800.0,28.6,37.24,13.74,0.1,Y,KOSPI_TOP_20_PERCENT,
011070,LG이노텍,지주/복합,KOSPI,37,206377.0,23.56,42.57,6.14,0.1,Y,KOSPI_TOP_20_PERCENT,
051910,LG화학,정유/화학,KOSPI,38,198717.0,37.27,-10.7,-5.5,0.1,Y,KOSPI_TOP_20_PERCENT,
017670,SK텔레콤,통신,KOSPI,39,185579.0,37.73,50.64,3.33,0.1,Y,KOSPI_TOP_20_PERCENT,
033780,KT&G,통신,KOSPI,40,181772.0,51.32,17.24,11.77,0.1,Y,KOSPI_TOP_20_PERCENT,
011200,HMM,운송/항공,KOSPI,41,180819.0,7.74,12.54,6.9,0.1,Y,KOSPI_TOP_20_PERCENT,
079550,LIG디펜스앤에어로스페이스,방산,KOSPI,42,176000.0,25.12,56.61,19.2,0.1,Y,KOSPI_TOP_20_PERCENT,
024110,기업은행,금융,KOSPI,43,169852.0,13.57,6.41,7.7,0.1,Y,KOSPI_TOP_20_PERCENT,
267250,HD현대,지주/복합,KOSPI,44,163121.0,27.2,10.7,10.25,0.1,Y,KOSPI_TOP_20_PERCENT,
096770,SK이노베이션,정유/화학,KOSPI,45,160600.0,14.5,-7.21,-14.42,0.1,Y,KOSPI_TOP_20_PERCENT,
035720,카카오,플랫폼/인터넷,KOSPI,46,157253.0,28.35,31.95,4.59,0.1,Y,KOSPI_TOP_20_PERCENT,
